3183.028	100.8
52.782	75.6
165.668	90.9
52.862	77.04
52.758	74.58
52.686	75.06
52.676	74.16
52.738	75.3
122.962	210.6
1419.77	88.92
243.108	113.82
120.138	200.52
1206.032	108.9
77.556	108.3
185.188	95.22
1025.574	127.02
87.234	112.44
550.824	124.56
106.592	145.14
238.86	113.64
86.946	118.26
77.986	104.16
265.85	123.54
121.948	191.46
824.506	112.26
91.268	121.92
91.662	121.62
68.744	92.28
1180.19	107.46
78.346	103.02
77.694	106.62
444.702	106.2
658.726	151.14
104.212	140.76
104.16	142.56
132.718	83.76
3087.504	109.98
54.084	77.58
54.042	77.22
170.11	91.38
122.788	209.58
54.058	76.62
150.902	87.66
341.648	156.78
359.348	176.76
118.036	190.68
127.718	82.02
1124.192	142.26
84.458	117.36
84.844	113.04
84.762	115.5
53.996	78.12
78.156	101.52
68.768	90.9
364.74	79.74
4087.454	100.98
48.986	72.42
49.044	72.54
49.036	73.2
574.268	90.96
100.408	133.56
100.798	135.36
100.654	139.08
49.02	71.7
121.172	79.14
289.904	134.64
698.872	157.38
101.586	142.56
101.9	140.04
132.736	81.72
365.752	190.14
118.714	193.5
143.896	86.94
121.574	220.26
48.98	72.42
111.826	163.26
163.824	90.96
1784.354	97.38
219.344	108.78
121.126	201.96
63.972	88.02
3099.602	99.48
52.834	75.3
52.768	76.62
52.712	77.46
359.57	94.86
114.906	165.96
352.288	161.22
118.69	187.92
52.744	75.0
145.41	86.52
338.178	159.24
355.466	178.38
118.7	189.42
164.972	91.02
122.896	209.58
52.74	76.44
63.816	83.88
63.76	86.7
63.92	87.36
