0	10
4	6
4	6
8	2
4	6
4	6
8	2
4	6
4	6
4	6
4	6
4	6
4	6
4	6
4	6
0	10
4	6
4	6
4	6
4	6
4	6
3	7
4	6
4	6
5	5
4	6
4	6
4	6
4	6
4	6
4	6
1	9
4	6
4	6
7	3
4	6
4	6
4	6
4	6
4	6
4	6
4	6
4	6
4	6
0	10
4	6
4	6
4	6
4	6
4	6
4	6
4	6
8	2
4	6
4	6
4	6
4	6
4	6
4	6
4	6
4	6
4	6
4	6
4	6
2	8
4	6
4	6
4	6
6	4
4	6
4	6
4	6
4	6
4	6
4	6
4	6
4	6
4	6
4	6
4	6
4	6
4	6
4	6
4	6
4	6
4	6
0	10
4	6
4	6
4	6
8	2
4	6
4	6
4	6
4	6
4	6
4	6
1	9
4	6
7	3
